,Isolate,Rep,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,Media
216,S17,3,1.266702485,5.57E-10,0.688318152,31.30014315,1.007015693,82.15567883,82.71895833,0.065786749,,M9wg
217,S31,1,1.53007141,0.060210119,0.187193338,17.06835791,3.702841072,120.6847419,120.0841806,0.063082177,,M9wg
218,S31,2,1.559419713,0.067197027,0.175739133,17.64201841,3.944182317,122.0486142,121.3971806,0.073035263,,M9wg
219,S31,3,1.34687519,0.027602046,0.251873325,15.35274249,2.751967402,108.7239459,108.6153472,0.084286586,,M9wg
220,S7,1,0.683487016,0.000782651,0.477876939,14.16919219,1.450472128,56.03668487,56.13726389,0.286106734,,M9wg
221,S7,2,0.735380137,0.00153709,0.4210948,14.64849323,1.646059703,59.93685903,59.99380556,0.287494938,,M9wg
222,S7,3,0.917955009,0.005034874,0.307816958,16.89400059,2.251816098,72.74443458,72.77705556,0.200721308,,M9wg
223,S19,1,1.376944299,0.019150787,0.214692105,19.84829601,3.228563906,104.9844616,104.6986806,0.037877287,,M9wg
224,S19,2,1.385650311,0.021606777,0.212061313,19.54718504,3.268616852,106.0531851,105.6749306,0.038501591,,M9wg
225,S19,3,1.372370328,0.018724754,0.221509877,19.3251441,3.129193109,105.3580933,105.0422222,0.03972651,,M9wg
226,S32,1,1.824627087,0.037952664,0.234730374,16.40934462,2.952950524,145.3482667,144.8783472,0.059296528,,M9wg
227,S32,2,1.797327573,0.022222076,0.260008236,16.84765451,2.665866246,142.4607711,142.1728056,0.049716596,,M9wg
228,S32,3,1.592963009,0.010211369,0.330853999,15.24363751,2.095024339,128.8627118,128.8591806,0.16138897,,M9wg
